Name, ASUS VivoBook S400CA-DH51T 14" Touchscreen Ultrabook
Brand, ASUS
Series, VivoBook
Model, S400CA-DH51T
Color, Gray
Operating System, Windows 8 64-Bit
CPU Type, Intel Core i5
Screen, 14"
Memory Size, 4GB DDR3
Hard Disk, 500GB HDD+24GB SSD
Graphics Card, Intel HD Graphics 4000
Video Memory, Shared system memory
Communication, Gigabit LAN and WLAN
Dimensions, 13.3" x 9.4" x 0.7"-0.8"
Weight, 4 lbs.
CPU Speed, 3317U(1.70GHz)
CPU Support, 3MB L3 CacheMax Turbo Frequency 2.6 GHz
Screen Size, 14"
Touchscreen, Yes
Wide Screen Support, Yes
Resolution, 1366 x 768
LCD Features, 16:9 Display type: (Typical 220-nit) 16ms response timeNTSC:45%
GPU/VPU, Intel HD Graphics 4000
Graphic Type, Integrated Card
HDD, 500GB HDD + 24GB SSD
HDD RPM, 5400rpm
Memory, 4GB
Memory Spec, 4GB On Board
Max Memory Supported, 4GB
LAN, 10/100/1000Mbps
WLAN, 802.11b/g/n Wireless LAN
USB, 2 x USB 2.01 x USB 3.0
Video Port, 1 x VGA
HDMI, 1 x HDMI
Audio Ports, 1 x Headphone-out & Audio-in Combo Jack
Audio, Built-in microphoneSonic Master
Speaker, Integrated Stereo Speakers
Keyboard, Chiclet Keyboard
Card Reader, SD only
Webcam, 0.3 Mega Pixel web camera (Fixed type)
Style, Ultrabook
Type, Mainstream
Usage, Consumer
AC Adapter, 65-watt AC adapter
Battery, 44WHrs, 4000mAh,3S1P, 3-cell Li-ion Battery pack
Accidental Damage Warranty, 1 Year Accidental Damage/30-Day Zero Bright Dot
