Name, Asus Grey 14.1" S400CA-DH51T Ultrabook PC with Intel Core i5-3317U Processor and Windows 8 Operating System
Price, $699.
Processor Brand:, Intel
Processor Type:, Intel Core i5-3317U Processor
Hard Drive Size:, 24 GB
Laptop Screen Size:, 14.0 inch
Operating System:, Windows 8 64-bit
Type:, 14"
Hard Drive:, 500 GB Hybrid Drive ( 24 GB flash ) / 5400 rpm
Technology:, 3-cell
Features:, InstantOn, ASUS Super Hybrid Engine II
Color:, Black
Model No.:, Asus S400CA-DH51T
Shipping Weight (in pounds):, 6.0
Product in Inches (L x W x H):, 13.3 x 9.4 x 0.8
Walmart No.:, 551072641
